A,B,C,D,E,F,G,H,J,K,Frequency,Data Accuracy,Technical Maturity,Setup time,Safety,Human Judgement,Cost_norm,Cost,Utility
A2,B3,C2,D3,E2,F1,G4,H1,J3,K4,,,,,,,,,
A1,B2,C3,D2,E3,F1,G3,H3,J3,K1,,,,,,,,,
A1,B1,C1,D4,E1,F2,G1,H2,J1,K3,,,,,,,,,
A1,B1,C1,D1,E1,F1,G1,H1,J1,K1,,,,,,,,,
A1,B1,C1,D2,E3,F2,G3,H1,J2,K3,,,,,,,,,
A1,B3,C2,D2,E3,F1,G2,H4,J2,K2,,,,,,,,,
A1,B2,C1,D2,E3,F1,G2,H1,J2,K1,,,,,,,,,
A1,B1,C2,D2,E3,F1,G1,H1,J3,K1,,,,,,,,,
A1,B1,C2,D2,E3,F1,G1,H1,J3,K2,,,,,,,,,
A1,B1,C2,D2,E3,F1,G1,H1,J3,K3,,,,,,,,,
A1,B1,C2,D2,E3,F1,G1,H1,J3,K4,,,,,,,,,
A1,B1,C2,D2,E3,F1,G2,H1,J3,K1,,,,,,,,,
A1,B1,C2,D2,E3,F1,G2,H1,J3,K2,,,,,,,,,
A1,B1,C2,D2,E3,F1,G2,H1,J3,K3,,,,,,,,,
A1,B1,C2,D2,E3,F1,G2,H1,J3,K4,,,,,,,,,
A1,B1,C2,D2,E3,F1,G3,H1,J3,K1,,,,,,,,,
A1,B1,C2,D2,E3,F1,G3,H1,J3,K2,,,,,,,,,
A1,B1,C2,D2,E3,F1,G3,H1,J3,K3,,,,,,,,,
A1,B1,C2,D2,E3,F1,G3,H1,J3,K4,,,,,,,,,
A1,B1,C2,D2,E3,F1,G4,H1,J3,K1,,,,,,,,,
A1,B1,C2,D2,E3,F1,G4,H1,J3,K2,,,,,,,,,
A1,B1,C2,D2,E3,F1,G4,H1,J3,K3,,,,,,,,,
A1,B1,C2,D2,E3,F1,G4,H1,J3,K4,,,,,,,,,
A1,B1,C2,D3,E3,F1,G1,H1,J3,K1,,,,,,,,,
A1,B1,C2,D3,E3,F1,G1,H1,J3,K2,,,,,,,,,
A1,B1,C2,D3,E3,F1,G1,H1,J3,K3,,,,,,,,,
A1,B1,C2,D3,E3,F1,G1,H1,J3,K4,,,,,,,,,
A1,B1,C2,D3,E3,F1,G2,H1,J3,K1,,,,,,,,,
A1,B1,C2,D3,E3,F1,G2,H1,J3,K2,,,,,,,,,
A1,B1,C2,D3,E3,F1,G2,H1,J3,K3,,,,,,,,,
A1,B1,C2,D3,E3,F1,G2,H1,J3,K4,,,,,,,,,
A1,B1,C2,D3,E3,F1,G3,H1,J3,K1,,,,,,,,,
A1,B1,C2,D3,E3,F1,G3,H1,J3,K2,,,,,,,,,
A1,B1,C2,D3,E3,F1,G3,H1,J3,K3,,,,,,,,,
A1,B1,C2,D3,E3,F1,G3,H1,J3,K4,,,,,,,,,
A1,B1,C2,D3,E3,F1,G4,H1,J3,K1,,,,,,,,,
A1,B1,C2,D3,E3,F1,G4,H1,J3,K2,,,,,,,,,
A1,B1,C2,D3,E3,F1,G4,H1,J3,K3,,,,,,,,,
A1,B1,C2,D3,E3,F1,G4,H1,J3,K4,,,,,,,,,
A1,B2,C2,D2,E3,F1,G1,H1,J3,K1,,,,,,,,,
A1,B2,C2,D2,E3,F1,G1,H1,J3,K2,,,,,,,,,
A1,B2,C2,D2,E3,F1,G1,H1,J3,K3,,,,,,,,,
A1,B2,C2,D2,E3,F1,G1,H1,J3,K4,,,,,,,,,
A1,B2,C2,D2,E3,F1,G2,H1,J3,K1,,,,,,,,,
A1,B2,C2,D2,E3,F1,G2,H1,J3,K2,,,,,,,,,
A1,B2,C2,D2,E3,F1,G2,H1,J3,K3,,,,,,,,,
A1,B2,C2,D2,E3,F1,G2,H1,J3,K4,,,,,,,,,
A1,B2,C2,D2,E3,F1,G3,H1,J3,K1,,,,,,,,,
A1,B2,C2,D2,E3,F1,G3,H1,J3,K2,,,,,,,,,
A1,B2,C2,D2,E3,F1,G3,H1,J3,K3,,,,,,,,,
A1,B2,C2,D2,E3,F1,G3,H1,J3,K4,,,,,,,,,
A1,B2,C2,D2,E3,F1,G4,H1,J3,K1,,,,,,,,,
A1,B2,C2,D2,E3,F1,G4,H1,J3,K2,,,,,,,,,
A1,B2,C2,D2,E3,F1,G4,H1,J3,K3,,,,,,,,,
A1,B2,C2,D2,E3,F1,G4,H1,J3,K4,,,,,,,,,
A1,B2,C2,D3,E3,F1,G1,H1,J3,K1,,,,,,,,,
A1,B2,C2,D3,E3,F1,G1,H1,J3,K2,,,,,,,,,
A1,B2,C2,D3,E3,F1,G1,H1,J3,K3,,,,,,,,,
A1,B2,C2,D3,E3,F1,G1,H1,J3,K4,,,,,,,,,
A1,B2,C2,D3,E3,F1,G2,H1,J3,K1,,,,,,,,,
A1,B2,C2,D3,E3,F1,G2,H1,J3,K2,,,,,,,,,
A1,B2,C2,D3,E3,F1,G2,H1,J3,K3,,,,,,,,,
A1,B2,C2,D3,E3,F1,G2,H1,J3,K4,,,,,,,,,
A1,B2,C2,D3,E3,F1,G3,H1,J3,K1,,,,,,,,,
A1,B2,C2,D3,E3,F1,G3,H1,J3,K2,,,,,,,,,
A1,B2,C2,D3,E3,F1,G3,H1,J3,K3,,,,,,,,,
A1,B2,C2,D3,E3,F1,G3,H1,J3,K4,,,,,,,,,
A1,B2,C2,D3,E3,F1,G4,H1,J3,K1,,,,,,,,,
A1,B2,C2,D3,E3,F1,G4,H1,J3,K2,,,,,,,,,
A1,B2,C2,D3,E3,F1,G4,H1,J3,K3,,,,,,,,,
A1,B2,C2,D3,E3,F1,G4,H1,J3,K4,,,,,,,,,
A1,B3,C2,D2,E3,F1,G1,H1,J3,K1,,,,,,,,,
A1,B3,C2,D2,E3,F1,G1,H1,J3,K2,,,,,,,,,
A1,B3,C2,D2,E3,F1,G1,H1,J3,K3,,,,,,,,,
A1,B3,C2,D2,E3,F1,G1,H1,J3,K4,,,,,,,,,
A1,B3,C2,D2,E3,F1,G2,H1,J3,K1,,,,,,,,,
A1,B3,C2,D2,E3,F1,G2,H1,J3,K2,,,,,,,,,
A1,B3,C2,D2,E3,F1,G2,H1,J3,K3,,,,,,,,,
A1,B3,C2,D2,E3,F1,G2,H1,J3,K4,,,,,,,,,
A1,B3,C2,D2,E3,F1,G3,H1,J3,K1,,,,,,,,,
A1,B3,C2,D2,E3,F1,G3,H1,J3,K2,,,,,,,,,
A1,B3,C2,D2,E3,F1,G3,H1,J3,K3,,,,,,,,,
A1,B3,C2,D2,E3,F1,G3,H1,J3,K4,,,,,,,,,
A1,B3,C2,D2,E3,F1,G4,H1,J3,K1,,,,,,,,,
A1,B3,C2,D2,E3,F1,G4,H1,J3,K2,,,,,,,,,
A1,B3,C2,D2,E3,F1,G4,H1,J3,K3,,,,,,,,,
A1,B3,C2,D2,E3,F1,G4,H1,J3,K4,,,,,,,,,
A1,B3,C2,D3,E3,F1,G1,H1,J3,K1,,,,,,,,,
A1,B3,C2,D3,E3,F1,G1,H1,J3,K2,,,,,,,,,
A1,B3,C2,D3,E3,F1,G1,H1,J3,K3,,,,,,,,,
A1,B3,C2,D3,E3,F1,G1,H1,J3,K4,,,,,,,,,
A1,B3,C2,D3,E3,F1,G2,H1,J3,K1,,,,,,,,,
A1,B3,C2,D3,E3,F1,G2,H1,J3,K2,,,,,,,,,
A1,B3,C2,D3,E3,F1,G2,H1,J3,K3,,,,,,,,,
A1,B3,C2,D3,E3,F1,G2,H1,J3,K4,,,,,,,,,
A1,B3,C2,D3,E3,F1,G3,H1,J3,K1,,,,,,,,,
A1,B3,C2,D3,E3,F1,G3,H1,J3,K2,,,,,,,,,
A1,B3,C2,D3,E3,F1,G3,H1,J3,K3,,,,,,,,,
A1,B3,C2,D3,E3,F1,G3,H1,J3,K4,,,,,,,,,
A1,B3,C2,D3,E3,F1,G4,H1,J3,K1,,,,,,,,,
A1,B3,C2,D3,E3,F1,G4,H1,J3,K2,,,,,,,,,
A1,B3,C2,D3,E3,F1,G4,H1,J3,K3,,,,,,,,,
A1,B3,C2,D3,E3,F1,G4,H1,J3,K4,,,,,,,,,
A1,B4,C2,D2,E3,F1,G1,H1,J3,K1,,,,,,,,,
