,A,B,C,D,E,F,G,H,J,K,Frequency,Data Accuracy,Technical Maturity,Setup time,Safety,Human Judgement,Cost_norm,Cost,Utility
0,A2,B3,C2,D3,E2,F1,G4,H1,J3,K4,0.4,0.75,0.07,0.63,0.9,0.0,0.08,105000.0,0.66
1,A1,B2,C3,D2,E3,F1,G3,H3,J3,K1,0.85,0.57,0.63,0.27,0.5,0.5,0.36,885000.0,0.55
2,A1,B1,C1,D4,E1,F2,G1,H2,J1,K3,1.0,0.82,0.8,0.25,0.2,1.0,0.52,2560000.0,0.72
3,A1,B1,C1,D1,E1,F1,G1,H1,J1,K1,1.0,0.75,0.77,0.31,0.56,0.5,0.36,480000.0,0.69
4,A1,B1,C1,D2,E3,F2,G3,H1,J2,K3,0.92,0.82,0.77,0.31,0.2,1.0,0.5,2830000.0,0.72
5,A1,B3,C2,D2,E3,F1,G2,H4,J2,K2,0.85,0.32,0.53,0.49,0.6,0.5,0.32,840000.0,0.41
6,A1,B2,C1,D2,E3,F1,G2,H1,J2,K1,0.92,0.75,0.67,0.33,0.56,0.5,0.42,1340000.0,0.68
7,A1,B1,C2,D2,E3,F1,G1,H1,J3,K1,0.85,0.75,0.73,0.28,0.6,0.5,0.3,490000.0,0.68
8,A1,B1,C2,D2,E3,F1,G1,H1,J3,K2,0.85,0.75,0.73,0.36,0.6,0.5,0.3,490000.0,0.69
9,A1,B1,C2,D2,E3,F1,G1,H1,J3,K3,0.85,0.75,0.73,0.42,0.24,1.0,0.38,1980000.0,0.68
10,A1,B1,C2,D2,E3,F1,G1,H1,J3,K4,0.85,0.75,0.73,0.22,0.96,0.5,0.28,485000.0,0.71
11,A1,B1,C2,D2,E3,F1,G2,H1,J3,K1,0.85,0.75,0.47,0.38,0.6,0.5,0.28,390000.0,0.68
12,A1,B1,C2,D2,E3,F1,G2,H1,J3,K2,0.85,0.75,0.47,0.46,0.6,0.5,0.28,390000.0,0.68
13,A1,B1,C2,D2,E3,F1,G2,H1,J3,K3,0.85,0.75,0.47,0.52,0.24,1.0,0.36,1880000.0,0.68
14,A1,B1,C2,D2,E3,F1,G2,H1,J3,K4,0.85,0.75,0.47,0.32,0.96,0.5,0.26,385000.0,0.71
15,A1,B1,C2,D2,E3,F1,G3,H1,J3,K1,0.85,0.75,0.6,0.32,0.6,0.5,0.28,390000.0,0.68
16,A1,B1,C2,D2,E3,F1,G3,H1,J3,K2,0.85,0.75,0.6,0.4,0.6,0.5,0.28,390000.0,0.69
17,A1,B1,C2,D2,E3,F1,G3,H1,J3,K3,0.85,0.75,0.6,0.46,0.24,1.0,0.36,1880000.0,0.68
18,A1,B1,C2,D2,E3,F1,G3,H1,J3,K4,0.85,0.75,0.6,0.26,0.96,0.5,0.26,385000.0,0.71
19,A1,B1,C2,D2,E3,F1,G4,H1,J3,K1,0.85,0.75,0.4,0.48,0.6,0.5,0.24,345000.0,0.68
20,A1,B1,C2,D2,E3,F1,G4,H1,J3,K2,0.85,0.75,0.4,0.56,0.6,0.5,0.24,345000.0,0.69
21,A1,B1,C2,D2,E3,F1,G4,H1,J3,K3,0.85,0.75,0.4,0.62,0.24,1.0,0.32,1835000.0,0.69
22,A1,B1,C2,D2,E3,F1,G4,H1,J3,K4,0.85,0.75,0.4,0.42,0.96,0.5,0.22,340000.0,0.71
23,A1,B1,C2,D3,E3,F1,G1,H1,J3,K1,0.85,0.75,0.63,0.36,0.6,0.5,0.24,345000.0,0.68
24,A1,B1,C2,D3,E3,F1,G1,H1,J3,K2,0.85,0.75,0.63,0.44,0.6,0.5,0.24,345000.0,0.69
25,A1,B1,C2,D3,E3,F1,G1,H1,J3,K3,0.85,0.75,0.63,0.5,0.24,1.0,0.32,1835000.0,0.69
26,A1,B1,C2,D3,E3,F1,G1,H1,J3,K4,0.85,0.75,0.63,0.3,0.96,0.5,0.22,340000.0,0.71
27,A1,B1,C2,D3,E3,F1,G2,H1,J3,K1,0.85,0.75,0.37,0.46,0.6,0.5,0.22,245000.0,0.68
28,A1,B1,C2,D3,E3,F1,G2,H1,J3,K2,0.85,0.75,0.37,0.54,0.6,0.5,0.22,245000.0,0.69
29,A1,B1,C2,D3,E3,F1,G2,H1,J3,K3,0.85,0.75,0.37,0.6,0.24,1.0,0.3,1735000.0,0.68
30,A1,B1,C2,D3,E3,F1,G2,H1,J3,K4,0.85,0.75,0.37,0.4,0.96,0.5,0.2,240000.0,0.71
31,A1,B1,C2,D3,E3,F1,G3,H1,J3,K1,0.85,0.75,0.5,0.4,0.6,0.5,0.22,245000.0,0.68
32,A1,B1,C2,D3,E3,F1,G3,H1,J3,K2,0.85,0.75,0.5,0.48,0.6,0.5,0.22,245000.0,0.69
33,A1,B1,C2,D3,E3,F1,G3,H1,J3,K3,0.85,0.75,0.5,0.54,0.24,1.0,0.3,1735000.0,0.68
34,A1,B1,C2,D3,E3,F1,G3,H1,J3,K4,0.85,0.75,0.5,0.34,0.96,0.5,0.2,240000.0,0.71
35,A1,B1,C2,D3,E3,F1,G4,H1,J3,K1,0.85,0.75,0.3,0.56,0.6,0.5,0.18,200000.0,0.69
36,A1,B1,C2,D3,E3,F1,G4,H1,J3,K2,0.85,0.75,0.3,0.64,0.6,0.5,0.18,200000.0,0.69
37,A1,B1,C2,D3,E3,F1,G4,H1,J3,K3,0.85,0.75,0.3,0.7,0.24,1.0,0.26,1690000.0,0.69
38,A1,B1,C2,D3,E3,F1,G4,H1,J3,K4,0.85,0.75,0.3,0.5,0.96,0.5,0.16,195000.0,0.72
39,A1,B2,C2,D2,E3,F1,G1,H1,J3,K1,0.85,0.75,0.77,0.23,0.6,0.5,0.34,940000.0,0.68
40,A1,B2,C2,D2,E3,F1,G1,H1,J3,K2,0.85,0.75,0.77,0.31,0.6,0.5,0.34,940000.0,0.68
41,A1,B2,C2,D2,E3,F1,G1,H1,J3,K3,0.85,0.75,0.77,0.37,0.24,1.0,0.42,2430000.0,0.68
42,A1,B2,C2,D2,E3,F1,G1,H1,J3,K4,0.85,0.75,0.77,0.17,0.96,0.5,0.32,935000.0,0.71
43,A1,B2,C2,D2,E3,F1,G2,H1,J3,K1,0.85,0.75,0.5,0.33,0.6,0.5,0.32,840000.0,0.67
44,A1,B2,C2,D2,E3,F1,G2,H1,J3,K2,0.85,0.75,0.5,0.41,0.6,0.5,0.32,840000.0,0.68
45,A1,B2,C2,D2,E3,F1,G2,H1,J3,K3,0.85,0.75,0.5,0.47,0.24,1.0,0.4,2330000.0,0.68
46,A1,B2,C2,D2,E3,F1,G2,H1,J3,K4,0.85,0.75,0.5,0.27,0.96,0.5,0.3,835000.0,0.7
47,A1,B2,C2,D2,E3,F1,G3,H1,J3,K1,0.85,0.75,0.63,0.27,0.6,0.5,0.32,840000.0,0.67
48,A1,B2,C2,D2,E3,F1,G3,H1,J3,K2,0.85,0.75,0.63,0.35,0.6,0.5,0.32,840000.0,0.68
49,A1,B2,C2,D2,E3,F1,G3,H1,J3,K3,0.85,0.75,0.63,0.41,0.24,1.0,0.4,2330000.0,0.68
50,A1,B2,C2,D2,E3,F1,G3,H1,J3,K4,0.85,0.75,0.63,0.21,0.96,0.5,0.3,835000.0,0.7
51,A1,B2,C2,D2,E3,F1,G4,H1,J3,K1,0.85,0.75,0.43,0.43,0.6,0.5,0.28,795000.0,0.68
52,A1,B2,C2,D2,E3,F1,G4,H1,J3,K2,0.85,0.75,0.43,0.51,0.6,0.5,0.28,795000.0,0.69
53,A1,B2,C2,D2,E3,F1,G4,H1,J3,K3,0.85,0.75,0.43,0.57,0.24,1.0,0.36,2285000.0,0.68
54,A1,B2,C2,D2,E3,F1,G4,H1,J3,K4,0.85,0.75,0.43,0.37,0.96,0.5,0.26,790000.0,0.71
55,A1,B2,C2,D3,E3,F1,G1,H1,J3,K1,0.85,0.75,0.67,0.31,0.6,0.5,0.28,795000.0,0.68
56,A1,B2,C2,D3,E3,F1,G1,H1,J3,K2,0.85,0.75,0.67,0.39,0.6,0.5,0.28,795000.0,0.69
57,A1,B2,C2,D3,E3,F1,G1,H1,J3,K3,0.85,0.75,0.67,0.45,0.24,1.0,0.36,2285000.0,0.68
58,A1,B2,C2,D3,E3,F1,G1,H1,J3,K4,0.85,0.75,0.67,0.25,0.96,0.5,0.26,790000.0,0.71
59,A1,B2,C2,D3,E3,F1,G2,H1,J3,K1,0.85,0.75,0.4,0.41,0.6,0.5,0.26,695000.0,0.68
60,A1,B2,C2,D3,E3,F1,G2,H1,J3,K2,0.85,0.75,0.4,0.49,0.6,0.5,0.26,695000.0,0.68
61,A1,B2,C2,D3,E3,F1,G2,H1,J3,K3,0.85,0.75,0.4,0.55,0.24,1.0,0.34,2185000.0,0.68
62,A1,B2,C2,D3,E3,F1,G2,H1,J3,K4,0.85,0.75,0.4,0.35,0.96,0.5,0.24,690000.0,0.71
63,A1,B2,C2,D3,E3,F1,G3,H1,J3,K1,0.85,0.75,0.53,0.35,0.6,0.5,0.26,695000.0,0.68
64,A1,B2,C2,D3,E3,F1,G3,H1,J3,K2,0.85,0.75,0.53,0.43,0.6,0.5,0.26,695000.0,0.68
65,A1,B2,C2,D3,E3,F1,G3,H1,J3,K3,0.85,0.75,0.53,0.49,0.24,1.0,0.34,2185000.0,0.68
66,A1,B2,C2,D3,E3,F1,G3,H1,J3,K4,0.85,0.75,0.53,0.29,0.96,0.5,0.24,690000.0,0.71
67,A1,B2,C2,D3,E3,F1,G4,H1,J3,K1,0.85,0.75,0.33,0.51,0.6,0.5,0.22,650000.0,0.68
68,A1,B2,C2,D3,E3,F1,G4,H1,J3,K2,0.85,0.75,0.33,0.59,0.6,0.5,0.22,650000.0,0.69
69,A1,B2,C2,D3,E3,F1,G4,H1,J3,K3,0.85,0.75,0.33,0.65,0.24,1.0,0.3,2140000.0,0.69
70,A1,B2,C2,D3,E3,F1,G4,H1,J3,K4,0.85,0.75,0.33,0.45,0.96,0.5,0.2,645000.0,0.71
71,A1,B3,C2,D2,E3,F1,G1,H1,J3,K1,0.85,0.57,0.63,0.31,0.6,0.5,0.28,450000.0,0.56
72,A1,B3,C2,D2,E3,F1,G1,H1,J3,K2,0.85,0.57,0.63,0.39,0.6,0.5,0.28,450000.0,0.57
73,A1,B3,C2,D2,E3,F1,G1,H1,J3,K3,0.85,0.57,0.63,0.45,0.24,1.0,0.36,1940000.0,0.56
74,A1,B3,C2,D2,E3,F1,G1,H1,J3,K4,0.85,0.57,0.63,0.25,0.96,0.5,0.26,445000.0,0.59
75,A1,B3,C2,D2,E3,F1,G2,H1,J3,K1,0.85,0.57,0.37,0.41,0.6,0.5,0.26,350000.0,0.56
76,A1,B3,C2,D2,E3,F1,G2,H1,J3,K2,0.85,0.57,0.37,0.49,0.6,0.5,0.26,350000.0,0.57
77,A1,B3,C2,D2,E3,F1,G2,H1,J3,K3,0.85,0.57,0.37,0.55,0.24,1.0,0.34,1840000.0,0.56
78,A1,B3,C2,D2,E3,F1,G2,H1,J3,K4,0.85,0.57,0.37,0.35,0.96,0.5,0.24,345000.0,0.59
79,A1,B3,C2,D2,E3,F1,G3,H1,J3,K1,0.85,0.57,0.5,0.35,0.6,0.5,0.26,350000.0,0.56
80,A1,B3,C2,D2,E3,F1,G3,H1,J3,K2,0.85,0.57,0.5,0.43,0.6,0.5,0.26,350000.0,0.57
81,A1,B3,C2,D2,E3,F1,G3,H1,J3,K3,0.85,0.57,0.5,0.49,0.24,1.0,0.34,1840000.0,0.56
82,A1,B3,C2,D2,E3,F1,G3,H1,J3,K4,0.85,0.57,0.5,0.29,0.96,0.5,0.24,345000.0,0.59
83,A1,B3,C2,D2,E3,F1,G4,H1,J3,K1,0.85,0.57,0.3,0.51,0.6,0.5,0.22,305000.0,0.56
84,A1,B3,C2,D2,E3,F1,G4,H1,J3,K2,0.85,0.57,0.3,0.59,0.6,0.5,0.22,305000.0,0.57
85,A1,B3,C2,D2,E3,F1,G4,H1,J3,K3,0.85,0.57,0.3,0.65,0.24,1.0,0.3,1795000.0,0.57
86,A1,B3,C2,D2,E3,F1,G4,H1,J3,K4,0.85,0.57,0.3,0.45,0.96,0.5,0.2,300000.0,0.59
87,A1,B3,C2,D3,E3,F1,G1,H1,J3,K1,0.85,0.57,0.53,0.39,0.6,0.5,0.22,305000.0,0.56
88,A1,B3,C2,D3,E3,F1,G1,H1,J3,K2,0.85,0.57,0.53,0.47,0.6,0.5,0.22,305000.0,0.57
89,A1,B3,C2,D3,E3,F1,G1,H1,J3,K3,0.85,0.57,0.53,0.53,0.24,1.0,0.3,1795000.0,0.57
90,A1,B3,C2,D3,E3,F1,G1,H1,J3,K4,0.85,0.57,0.53,0.33,0.96,0.5,0.2,300000.0,0.59
91,A1,B3,C2,D3,E3,F1,G2,H1,J3,K1,0.85,0.57,0.27,0.49,0.6,0.5,0.2,205000.0,0.56
92,A1,B3,C2,D3,E3,F1,G2,H1,J3,K2,0.85,0.57,0.27,0.57,0.6,0.5,0.2,205000.0,0.57
93,A1,B3,C2,D3,E3,F1,G2,H1,J3,K3,0.85,0.57,0.27,0.63,0.24,1.0,0.28,1695000.0,0.56
94,A1,B3,C2,D3,E3,F1,G2,H1,J3,K4,0.85,0.57,0.27,0.43,0.96,0.5,0.18,200000.0,0.59
95,A1,B3,C2,D3,E3,F1,G3,H1,J3,K1,0.85,0.57,0.4,0.43,0.6,0.5,0.2,205000.0,0.56
96,A1,B3,C2,D3,E3,F1,G3,H1,J3,K2,0.85,0.57,0.4,0.51,0.6,0.5,0.2,205000.0,0.57
97,A1,B3,C2,D3,E3,F1,G3,H1,J3,K3,0.85,0.57,0.4,0.57,0.24,1.0,0.28,1695000.0,0.56
98,A1,B3,C2,D3,E3,F1,G3,H1,J3,K4,0.85,0.57,0.4,0.37,0.96,0.5,0.18,200000.0,0.59
99,A1,B3,C2,D3,E3,F1,G4,H1,J3,K1,0.85,0.57,0.2,0.59,0.6,0.5,0.16,160000.0,0.57
100,A1,B3,C2,D3,E3,F1,G4,H1,J3,K2,0.85,0.57,0.2,0.67,0.6,0.5,0.16,160000.0,0.58
101,A1,B3,C2,D3,E3,F1,G4,H1,J3,K3,0.85,0.57,0.2,0.73,0.24,1.0,0.24,1650000.0,0.57
102,A1,B3,C2,D3,E3,F1,G4,H1,J3,K4,0.85,0.57,0.2,0.53,0.96,0.5,0.14,155000.0,0.6
103,A1,B4,C2,D2,E3,F1,G1,H1,J3,K1,0.85,0.5,0.6,0.33,0.6,0.5,0.26,445000.0,0.52
104,A1,B4,C2,D2,E3,F1,G1,H1,J3,K2,0.85,0.5,0.6,0.41,0.6,0.5,0.26,445000.0,0.52
105,A1,B4,C2,D2,E3,F1,G1,H1,J3,K3,0.85,0.5,0.6,0.47,0.24,1.0,0.34,1935000.0,0.52
106,A1,B4,C2,D2,E3,F1,G1,H1,J3,K4,0.85,0.5,0.6,0.27,0.96,0.5,0.24,440000.0,0.55
107,A1,B4,C2,D2,E3,F1,G2,H1,J3,K1,0.85,0.5,0.33,0.43,0.6,0.5,0.24,345000.0,0.51
108,A1,B4,C2,D2,E3,F1,G2,H1,J3,K2,0.85,0.5,0.33,0.51,0.6,0.5,0.24,345000.0,0.52
109,A1,B4,C2,D2,E3,F1,G2,H1,J3,K3,0.85,0.5,0.33,0.57,0.24,1.0,0.32,1835000.0,0.52
110,A1,B4,C2,D2,E3,F1,G2,H1,J3,K4,0.85,0.5,0.33,0.37,0.96,0.5,0.22,340000.0,0.54
111,A1,B4,C2,D2,E3,F1,G3,H1,J3,K1,0.85,0.5,0.47,0.37,0.6,0.5,0.24,345000.0,0.51
112,A1,B4,C2,D2,E3,F1,G3,H1,J3,K2,0.85,0.5,0.47,0.45,0.6,0.5,0.24,345000.0,0.52
113,A1,B4,C2,D2,E3,F1,G3,H1,J3,K3,0.85,0.5,0.47,0.51,0.24,1.0,0.32,1835000.0,0.52
114,A1,B4,C2,D2,E3,F1,G3,H1,J3,K4,0.85,0.5,0.47,0.31,0.96,0.5,0.22,340000.0,0.54
115,A1,B4,C2,D2,E3,F1,G4,H1,J3,K1,0.85,0.5,0.27,0.53,0.6,0.5,0.2,300000.0,0.52
116,A1,B4,C2,D2,E3,F1,G4,H1,J3,K2,0.85,0.5,0.27,0.61,0.6,0.5,0.2,300000.0,0.53
117,A1,B4,C2,D2,E3,F1,G4,H1,J3,K3,0.85,0.5,0.27,0.67,0.24,1.0,0.28,1790000.0,0.52
118,A1,B4,C2,D2,E3,F1,G4,H1,J3,K4,0.85,0.5,0.27,0.47,0.96,0.5,0.18,295000.0,0.55
119,A1,B4,C2,D3,E3,F1,G1,H1,J3,K1,0.85,0.5,0.5,0.41,0.6,0.5,0.2,300000.0,0.52
120,A1,B4,C2,D3,E3,F1,G1,H1,J3,K2,0.85,0.5,0.5,0.49,0.6,0.5,0.2,300000.0,0.53
121,A1,B4,C2,D3,E3,F1,G1,H1,J3,K3,0.85,0.5,0.5,0.55,0.24,1.0,0.28,1790000.0,0.52
122,A1,B4,C2,D3,E3,F1,G1,H1,J3,K4,0.85,0.5,0.5,0.35,0.96,0.5,0.18,295000.0,0.55
123,A1,B4,C2,D3,E3,F1,G2,H1,J3,K1,0.85,0.5,0.23,0.51,0.6,0.5,0.18,200000.0,0.52
124,A1,B4,C2,D3,E3,F1,G2,H1,J3,K2,0.85,0.5,0.23,0.59,0.6,0.5,0.18,200000.0,0.52
125,A1,B4,C2,D3,E3,F1,G2,H1,J3,K3,0.85,0.5,0.23,0.65,0.24,1.0,0.26,1690000.0,0.52
126,A1,B4,C2,D3,E3,F1,G2,H1,J3,K4,0.85,0.5,0.23,0.45,0.96,0.5,0.16,195000.0,0.55
127,A1,B4,C2,D3,E3,F1,G3,H1,J3,K1,0.85,0.5,0.37,0.45,0.6,0.5,0.18,200000.0,0.52
128,A1,B4,C2,D3,E3,F1,G3,H1,J3,K2,0.85,0.5,0.37,0.53,0.6,0.5,0.18,200000.0,0.52
129,A1,B4,C2,D3,E3,F1,G3,H1,J3,K3,0.85,0.5,0.37,0.59,0.24,1.0,0.26,1690000.0,0.52
130,A1,B4,C2,D3,E3,F1,G3,H1,J3,K4,0.85,0.5,0.37,0.39,0.96,0.5,0.16,195000.0,0.55
