,A,B,C,D,E,F,G,H,J,K,Frequency,Data Accuracy,Technical Maturity,Setup time,Safety,Human Judgement,Cost_norm,Cost,Utility
0,A2,B3,C2,D3,E2,F1,G4,H1,J3,K4,0.4,0.75,0.07,0.63,0.9,0.0,0.08,105000.0,0.48
1,A1,B2,C3,D2,E3,F1,G3,H3,J3,K1,0.85,0.57,0.63,0.27,0.5,0.5,0.36,885000.0,0.54
2,A1,B1,C1,D4,E1,F2,G1,H2,J1,K3,1.0,0.57,0.8,0.25,0.2,1.0,0.52,2560000.0,0.61
3,A1,B1,C1,D1,E1,F1,G1,H1,J1,K1,1.0,0.68,0.77,0.31,0.56,0.5,0.36,480000.0,0.62
4,A2,B1,C1,D1,E1,F1,G1,H1,J1,K1,0.65,0.85,0.63,0.41,0.5,0.0,0.32,435000.0,0.52
5,A1,B3,C2,D2,E3,F1,G2,H4,J2,K2,0.85,0.32,0.53,0.49,0.6,0.5,0.32,840000.0,0.53
6,A2,B4,C2,D3,E2,F1,G4,H4,J3,K4,0.4,0.42,0.03,0.65,0.9,0.0,0.04,95000.0,0.41
7,A1,B2,C1,D2,E3,F1,G2,H1,J2,K1,0.92,0.75,0.67,0.33,0.56,0.5,0.42,1340000.0,0.61
8,A2,B3,C3,D3,E3,F2,G4,H4,J3,K2,0.5,0.4,0.07,0.62,0.44,0.0,0.16,565000.0,0.36
9,A1,B1,C1,D2,E3,F2,G3,H1,J2,K3,0.92,0.57,0.77,0.31,0.2,1.0,0.5,2830000.0,0.61
