OptionNum,Option,Accuracy,Cost,Utility
A1,Connected IOT sensor,0.98,50000,
A2,Manual gauge read/entry,0.9,5000,
B1,Live video feed,0.85,50000,
B2,Periodic LIDAR scan,0.98,500000,
B3,Periodic photography,0.7,10000,
B4,None,0,5000,
C1,Wired (Fiber),0.99,10000,
C2,Cellular (4G LTE),0.9,5000,
C3,Wi-Fi,0.95,10000,
D1,MySQL,0.97,50000,
D2,SQL (Cloud),0.99,150000,
D3,Excel,0.8,5000,
D4,Unstructured,0.93,150000,
E1,Hot Storage,0,50000,
E2,Cold Storage,0,5000,
E3,Mix,0,10000,
F1,Stand-alone analysis,0,50000,
F2,Fleet style analysis,0,500000,
G1,Machine Learning Model,0,150000,
G2,Basic Statistical Models,0,50000,
G3,Physics Derived Model,0,50000,
G4,None,0,5000,
H1,PowerBI,0.9,10000,
H2,Python,0.9,50000,
H3,JavaScript,0.9,50000,
H4,None,0.5,5000,
J1,Live-Stream,0,50000,
J2,3D Rendered Equipment,0,500000,
J3,None,0,5000,
K1,Dashboard Alarm,0,10000,
K2,"One-time alert (phone, email)",0,10000,
K3,Automated shut-down,0,1500000,
K4,None,0,5000,
