OptionNum,Option,Safety,Cost
A1,Connected IOT sensor,12,50000
A2,Manual gauge read/entry,300,5000
B1,Live video feed,24,50000
B2,Periodic LIDAR scan,4,500000
B3,Periodic photography,52,10000
B4,None,300,5000
C1,Wired (Fiber),2,10000
C2,Cellular (4G LTE),12,5000
C3,Wi-Fi,52,10000
D1,MySQL,,50000
D2,SQL (Cloud),,150000
D3,Excel,,5000
D4,Unstructured,,150000
E1,Hot Storage,,50000
E2,Cold Storage,,5000
E3,Mix,,10000
F1,Stand-alone analysis,52,50000
F2,Fleet style analysis,104,500000
G1,Machine Learning Model,,150000
G2,Basic Statistical Models,,50000
G3,Physics Derived Model,,50000
G4,None,,5000
H1,PowerBI,,10000
H2,Python,,50000
H3,JavaScript,,50000
H4,None,,5000
J1,Live-Stream,,50000
J2,3D Rendered Equipment,,500000
J3,None,,5000
K1,Dashboard Alarm,24,10000
K2,"One-time alert (phone, email)",24,10000
K3,Automated shut-down,2,1500000
K4,None,12,5000
